account_id,customer_id,bank_name,account_type,opening_balance,current_balance,currency,opened_at
acct_8779854e72,cust_9d6cacdc98,HDFC Bank,savings,40577.88,,,
acct_9eb04f4c78,cust_86838bd208,HDFC Bank,savings,13192.39,,,
acct_c5cd879dc2,cust_8f67be01ae,ICICI Bank,savings,9183.37,,,
acct_811ee1efcd,cust_131f5dc26e,ICICI Bank,savings,28538.09,,,
acct_bdb6079c78,cust_7ea03730c6,Punjab National Bank,savings,8031.21,,,
acct_ecde149c91,cust_acab38f226,ICICI Bank,savings,47504.89,,,
acct_409500b425,cust_52af141aff,State Bank of India,savings,22972.67,,,
acct_a3af22648d,cust_6b2a008a61,ICICI Bank,savings,48797.13,,,
acct_9c3c11da99,cust_1a49ad0899,HDFC Bank,savings,31936.43,,,
acct_03261a5b40,cust_dfccb7ab4d,Axis Bank,savings,41500.07,,,
acct_301ec0d6c0,cust_f7aebb5b57,Bank of Baroda,savings,44979.2,,,
acct_158a341aed,cust_59f3d1d2c0,Bank of Baroda,savings,43617.15,,,
acct_dbdbf1a621,cust_01504fdeb8,Axis Bank,savings,25434.66,,,
acct_2dc82f1c5d,cust_63d81ca24e,Bank of Baroda,savings,7272.19,,,
acct_aa6c48c934,cust_3f9c441822,ICICI Bank,savings,30433.11,,,
acct_17df0ecbf1,cust_5e3e5e66b6,Bank of Baroda,savings,25134.94,,,
acct_f6694cf153,cust_f6ba2d9037,Punjab National Bank,savings,14918.72,,,
acct_2bd5f5ec55,cust_8ab6c38f9c,State Bank of India,savings,19868.25,,,
acct_f7356d49a9,cust_5949e29f28,Bank of Baroda,savings,48224.19,,,
acct_fb3c600c25,cust_ae6453a2d7,HDFC Bank,savings,3462.9,,,
acct_d61e71513d,cust_ad0f51974b,Punjab National Bank,savings,27991.89,,,
acct_ff124a411c,cust_fd0872c1e7,ICICI Bank,savings,28188.81,,,
acct_9de737b7bd,cust_c6b2e6d815,Bank of Baroda,savings,38574.74,,,
acct_357b2267d1,cust_2d0900313b,ICICI Bank,savings,5783.0,,,
acct_7a2f3a7f59,cust_8d08482557,Bank of Baroda,savings,34956.73,,,
acct_5df9aa7551,cust_e54d42078a,Bank of Baroda,savings,6995.84,,,
acct_ecd4d1720e,cust_a959fc2cf0,ICICI Bank,savings,24970.46,,,
acct_900f8a0e63,cust_b4e4801cfe,Punjab National Bank,savings,21264.31,,,
acct_715b4db085,cust_a8a2b8f1e5,State Bank of India,savings,23228.9,,,
acct_70c4aec8d1,cust_bcbbc71341,HDFC Bank,savings,34788.23,,,
acct_a1d541083d,cust_5b90bc9fc0,ICICI Bank,savings,40911.05,,,
