customer_id,name,age,gender,city,state,tier,language_preference,income_type,archetype,onboarding_date,split,first_name,last_name,income_type_declared,onboarded_at,archetype_ground_truth,account_created_at,employment_type,created_at
cust_9d6cacdc98,Anvi Konda,59,Male,Delhi,Delhi,Tier 1,Kannada,gig_irregular,gig_irregular,2025-08-27,train,,,,,,,,
cust_86838bd208,Gagan Sami,58,Other,Bengaluru,Karnataka,Tier 1,Gujarati,salaried,stable_salaried,2025-01-11,train,,,,,,,,
cust_8f67be01ae,Tejas Kaul,31,Male,Jhansi,Uttar Pradesh,Tier 3,Gujarati,salaried,stable_salaried,2024-09-28,train,,,,,,,,
cust_131f5dc26e,Rushil Saini,23,Female,Indore,Madhya Pradesh,Tier 2,Bengali,salaried,stable_salaried,2025-06-14,train,,,,,,,,
cust_7ea03730c6,Abeer Dutta,26,Male,Guna,Madhya Pradesh,Tier 3,Tamil,salaried,financially_stressed,2025-01-09,test,,,,,,,,
cust_acab38f226,Arunima Dugal,56,Male,Bilaspur,Chhattisgarh,Tier 3,Marathi,gig_irregular,gig_irregular,2025-09-28,train,,,,,,,,
cust_52af141aff,Harsh Chanda,45,Female,Jhansi,Uttar Pradesh,Tier 3,Gujarati,salaried,financially_stressed,2025-01-06,train,,,,,,,,
cust_6b2a008a61,Hemangini Lalla,43,Other,Chhindwara,Madhya Pradesh,Tier 4,Hindi,salaried,stable_salaried,2025-04-07,train,,,,,,,,
cust_1a49ad0899,Jeet Radhakrishnan,37,Other,Chhindwara,Madhya Pradesh,Tier 4,Telugu,salaried,stable_salaried,2025-11-27,train,,,,,,,,
cust_dfccb7ab4d,Janaki Handa,56,Female,Mumbai,Maharashtra,Tier 1,Kannada,salaried,stable_salaried,2024-10-24,train,,,,,,,,
cust_f7aebb5b57,Vedant Mann,24,Other,Coimbatore,Tamil Nadu,Tier 2,Marathi,salaried,stable_salaried,2025-10-02,train,,,,,,,,
cust_59f3d1d2c0,Harrison Rai,56,Other,Bengaluru,Karnataka,Tier 1,English,gig_irregular,gig_irregular,2026-03-04,test,,,,,,,,
cust_01504fdeb8,Nicholas Prabhakar,49,Female,Chhindwara,Madhya Pradesh,Tier 4,Tamil,salaried,stable_salaried,2025-02-10,train,,,,,,,,
cust_63d81ca24e,Ekbal Garg,57,Female,Delhi,Delhi,Tier 1,English,salaried,stable_salaried,2025-03-24,train,,,,,,,,
cust_3f9c441822,Nihal Shere,41,Female,Barpeta,Assam,Tier 4,Kannada,gig_irregular,gig_irregular,2025-06-30,train,,,,,,,,
cust_5e3e5e66b6,Ekta Bhalla,30,Male,Delhi,Delhi,Tier 1,Kannada,gig_irregular,gig_irregular,2025-04-06,train,,,,,,,,
